wave (um), F062, F087, F106, F129, F146, F158, F184, F213
1.274,0,0,0,2.8312,2.8312,0,0,0
1.275,0,0,0,2.8309,2.8309,0,0,0
1.276,0,0,0,2.8305,2.8305,0,0,0
1.277,0,0,0,2.83,2.83,0,0,0
1.278,0,0,0,2.8298,2.8298,0,0,0
1.279,0,0,0,2.8301,2.8301,0,0,0
1.28,0,0,0,2.8305,2.8305,0,0,0
1.281,0,0,0,2.8302,2.8302,0,0,0
1.282,0,0,0,2.8297,2.8297,0,0,0
1.283,0,0,0,2.8294,2.8294,0,0,0
1.284,0,0,0,2.829,2.829,0,0,0
1.285,0,0,0,2.8286,2.8286,0,0,0
1.286,0,0,0,2.8284,2.8284,0,0,0
1.287,0,0,0,2.8287,2.8287,0,0,0
1.288,0,0,0,2.8291,2.8291,0,0,0
1.289,0,0,0,2.829,2.829,0,0,0
1.29,0,0,0,2.8285,2.8285,0,0,0
1.291,0,0,0,2.8282,2.8282,0,0,0
1.292,0,0,0,2.8279,2.8279,0,0,0
1.293,0,0,0,2.8275,2.8275,0,0,0
1.294,0,0,0,2.8274,2.8274,0,0,0
1.295,0,0,0,2.8279,2.8279,0,0,0
1.296,0,0,0,2.8283,2.8283,0,0,0
1.297,0,0,0,2.8283,2.8283,0,0,0
1.298,0,0,0,2.8279,2.8279,0,0,0
1.299,0,0,0,2.8277,2.8277,0,0,0
1.3,0,0,0,2.8276,2.8276,0,0,0
1.301,0,0,0,2.8273,2.8273,0,0,0
1.302,0,0,0,2.8274,2.8274,0,0,0
1.303,0,0,0,2.8281,2.8281,0,0,0
1.304,0,0,0,2.8287,2.8287,0,0,0
1.305,0,0,0,2.8288,2.8288,0,0,0
1.306,0,0,0,2.8287,2.8287,0,0,0
1.307,0,0,0,2.8287,2.8287,0,0,0
1.308,0,0,0,2.8287,2.8287,0,0,0
1.309,0,0,0,2.8285,2.8285,0,0,0
1.31,0,0,0,2.8287,2.8287,0,0,0
1.311,0,0,0,2.8294,2.8294,0,0,0
1.312,0,0,0,2.8302,2.8302,0,0,0
1.313,0,0,0,2.8304,2.8304,0,0,0
1.314,0,0,0,2.8303,2.8303,0.0001,0,0
1.315,0,0,0,2.8304,2.8304,0.0001,0,0
1.316,0,0,0,2.8304,2.8304,0.0001,0,0
1.317,0,0,0,2.8304,2.8304,0.0001,0,0
1.318,0,0,0,2.8306,2.8306,0.0002,0,0
1.319,0,0,0,2.8314,2.8314,0.0002,0,0
1.32,0,0,0,2.8323,2.8323,0.0003,0,0
1.321,0,0,0,2.8325,2.8325,0.0004,0,0
1.322,0,0,0,2.8325,2.8325,0.0005,0,0
1.323,0,0,0,2.8327,2.8327,0.0006,0,0
1.324,0,0,0,2.8328,2.8328,0.0007,0,0
1.325,0,0,0,2.8328,2.8328,0.0009,0,0
1.326,0,0,0,2.8331,2.8331,0.0012,0,0
1.327,0,0,0,2.834,2.834,0.0015,0,0
1.328,0,0,0,2.8349,2.8349,0.0018,0,0
1.329,0,0,0,2.8353,2.8353,0.0023,0,0
1.33,0,0,0,2.8353,2.8353,0.0028,0,0
1.331,0,0,0,2.8353,2.8353,0.0034,0,0
1.332,0,0,0,2.8357,2.8357,0.0042,0,0
1.333,0,0,0,2.8367,2.8367,0.0051,0,0
1.334,0,0,0,2.8376,2.8376,0.0063,0,0
1.335,0,0,0,2.8379,2.8379,0.0076,0,0
1.336,0,0,0,2.838,2.838,0.0092,0,0
1.337,0,0,0,2.8383,2.8383,0.011,0,0
1.338,0,0,0,2.8385,2.8385,0.0132,0,0
1.339,0,0,0,2.8387,2.8387,0.0158,0,0
1.34,0,0,0,2.839,2.839,0.0189,0,0
1.341,0,0,0,2.84,2.84,0.0224,0,0
1.342,0,0,0,2.841,2.841,0.0265,0,0
1.343,0,0,0,2.8415,2.8415,0.0313,0,0
1.344,0,0,0,2.8416,2.8416,0.0367,0,0
1.345,0,0,0,2.8417,2.8417,0.043,0,0
1.346,0,0,0,2.8422,2.8422,0.0502,0,0
1.347,0,0,0,2.8432,2.8432,0.0584,0,0
1.348,0,0,0,2.8442,2.8442,0.0677,0,0
1.349,0,0,0,2.8447,2.8447,0.0782,0,0
1.35,0,0,0,2.8448,2.8448,0.0901,0,0
1.351,0,0,0,2.8451,2.8451,0.1034,0,0
1.352,0,0,0,2.8455,2.8455,0.1182,0,0
1.353,0,0,0,2.8459,2.8459,0.1347,0,0
1.354,0,0,0,2.8463,2.8463,0.1531,0,0
1.355,0,0,0,2.8467,2.8467,0.1733,0,0
1.356,0,0,0,2.8471,2.8471,0.1956,0,0
1.357,0,0,0,2.8474,2.8474,0.22,0,0
1.358,0,0,0,2.848,2.848,0.2467,0,0
1.359,0,0,0,2.8491,2.8491,0.2759,0,0
1.36,0,0,0,2.8503,2.8503,0.3075,0,0
1.361,0,0,0,2.8509,2.8509,0.3415,0,0
1.362,0,0,0,2.8512,2.8512,0.3781,0,0
1.363,0,0,0,2.8516,2.8516,0.4173,0,0
1.364,0,0,0,2.8521,2.8521,0.4592,0,0
1.365,0,0,0,2.8526,2.8526,0.5037,0,0
1.366,0,0,0,2.853,2.853,0.5509,0,0
1.367,0,0,0,2.8533,2.8533,0.6006,0,0
1.368,0,0,0,2.8539,2.8539,0.653,0,0
1.369,0,0,0,2.8552,2.8552,0.708,0,0
1.37,0,0,0,2.8563,2.8563,0.7654,0,0
1.371,0,0,0,2.8568,2.8568,0.8249,0,0
1.372,0,0,0,2.8572,2.8572,0.8864,0,0
1.373,0,0,0,2.8584,2.8584,0.9501,0,0
1.374,0,0,0,2.8596,2.8596,1.0157,0,0
1.375,0,0,0,2.8602,2.8602,1.0825,0,0
1.376,0,0,0,2.8605,2.8605,1.1506,0,0
1.377,0,0,0,2.861,2.861,1.2198,0,0
1.378,0,0,0,2.8614,2.8614,1.2898,0,0
1.379,0,0,0,2.8617,2.8617,1.3602,0,0
