# WAVELENGTH THROUGHPUT
1.248790039062499746e+00 0.000000000000000000e+00
1.249790039062499858e+00 0.000000000000000000e+00
1.250790039062499970e+00 6.319106032735518574e-06
1.251790039062500082e+00 7.160680913607842289e-06
1.252790039062499972e+00 7.612250440928345306e-06
1.253790039062500083e+00 8.113393438626913037e-06
1.254790039062499973e+00 9.115797417959432825e-06
1.255790039062500085e+00 9.863020695165791086e-06
1.256790039062499975e+00 1.064543712982773931e-05
1.257790039062500087e+00 1.140640345989132400e-05
1.258790039062499977e+00 1.254402069576119959e-05
1.259790039062500089e+00 1.357797261440103816e-05
1.260790039062499979e+00 1.510035588024591942e-05
1.261790039062500091e+00 1.617290863111094126e-05
1.262790039062499980e+00 1.828548223367691900e-05
1.263790039062500092e+00 2.002824523745925156e-05
1.264790039062499982e+00 2.197152775113760475e-05
1.265790039062500094e+00 2.446130717334021881e-05
1.266790039062499984e+00 2.694194264938983881e-05
1.267790039062500096e+00 2.996742944552936551e-05
1.268790039062499986e+00 3.307856839597821737e-05
1.269790039062500098e+00 3.671650901970577210e-05
1.270790039062499988e+00 4.164114696085435748e-05
1.271790039062500099e+00 4.637219804578151161e-05
1.272790039062499989e+00 5.254505022320446001e-05
1.273790039062500101e+00 5.896351452059789158e-05
1.274790039062499991e+00 6.695960101362248985e-05
1.275790039062500103e+00 7.616408042976192884e-05
1.276790039062499993e+00 8.700834051511778901e-05
1.277790039062500105e+00 9.900891065785812062e-05
1.278790039062499995e+00 1.132639894361691757e-04
1.279790039062500107e+00 1.297256506557324402e-04
1.280790039062499996e+00 1.487246751022996191e-04
1.281790039062500108e+00 1.709467483532017807e-04
1.282790039062499998e+00 1.960911040938929191e-04
1.283790039062500110e+00 2.249576668478139689e-04
1.284790039062500000e+00 2.578844700912307527e-04
1.285790039062499890e+00 2.966248286602371606e-04
1.286790039062500002e+00 3.432468727368212470e-04
1.287790039062499892e+00 3.927566715197719906e-04
1.288790039062500004e+00 4.559606640973334316e-04
1.289790039062499893e+00 5.295872278055412325e-04
1.290790039062500005e+00 6.122485663403507252e-04
1.291790039062499895e+00 7.089299755520463327e-04
1.292790039062500007e+00 8.359712122030119128e-04
1.293790039062499897e+00 9.743240280641162886e-04
1.294790039062500009e+00 1.138577247000330988e-03
1.295790039062499899e+00 1.357212828127628756e-03
1.296790039062500011e+00 1.604610933501417246e-03
1.297790039062499901e+00 1.909938103934910288e-03
1.298790039062500012e+00 2.300826099333781391e-03
1.299790039062499902e+00 2.768328075014819898e-03
1.300790039062500014e+00 3.342105603028036522e-03
1.301790039062499904e+00 4.066924224652023086e-03
1.302790039062500016e+00 4.959708717233195750e-03
1.303790039062499906e+00 6.019972545422603953e-03
1.304790039062500018e+00 7.293677944046807887e-03
1.305790039062499908e+00 8.754897828540671167e-03
1.306790039062500020e+00 1.011138254832744804e-02
1.307790039062499909e+00 1.105282322576581905e-02
1.308790039062500021e+00 1.226258469009951745e-02
1.309790039062499911e+00 1.334315734474160464e-02
1.310790039062500023e+00 1.461718279632267907e-02
1.311790039062499913e+00 1.622498692236633636e-02
1.312790039062500025e+00 1.819561346210855565e-02
1.313790039062499915e+00 2.029607961394283566e-02
1.314790039062500027e+00 2.318775893628044135e-02
1.315790039062499917e+00 2.565302093155233040e-02
1.316790039062500028e+00 2.941793885034230116e-02
1.317790039062499918e+00 3.336433144042595667e-02
1.318790039062500030e+00 3.897382757013485854e-02
1.319790039062499920e+00 4.506604975870594221e-02
1.320790039062500032e+00 5.349130391017456465e-02
1.321790039062499922e+00 6.266732854326968749e-02
1.322790039062500034e+00 7.424952219366752482e-02
1.323790039062499924e+00 8.649263479805557875e-02
1.324790039062500036e+00 1.024500108994139402e-01
1.325790039062499925e+00 1.181621047114021217e-01
1.326790039062500037e+00 1.376606488305046339e-01
1.327790039062499927e+00 1.588212331619365258e-01
1.328790039062500039e+00 1.832236652275555100e-01
1.329790039062499929e+00 2.092608434869235867e-01
1.330790039062500041e+00 2.374149526594202531e-01
1.331790039062499931e+00 2.650335420318863933e-01
1.332790039062500043e+00 2.926735706363498002e-01
1.333790039062499932e+00 3.196681839882682397e-01
1.334790039062500044e+00 3.431931332299638093e-01
1.335790039062499934e+00 3.641194817217131563e-01
1.336790039062500046e+00 3.817681531163293895e-01
1.337790039062499936e+00 3.965620183446812441e-01
1.338790039062500048e+00 4.075252943801671024e-01
1.339790039062499938e+00 4.156881966074517099e-01
1.340790039062500050e+00 4.211031068150909440e-01
1.341790039062499940e+00 4.248183263846698199e-01
1.342790039062500052e+00 4.275387213768686023e-01
1.343790039062499941e+00 4.314554445854051345e-01
1.344790039062500053e+00 4.306938346146457763e-01
1.345790039062499943e+00 4.321331835644474095e-01
1.346790039062500055e+00 4.345046059126339011e-01
1.347790039062499945e+00 4.351049151878879084e-01
1.348790039062500057e+00 4.366029330121663499e-01
1.349790039062499947e+00 4.375931306002142085e-01
1.350790039062500059e+00 4.392721654065137038e-01
1.351790039062499948e+00 4.397660942744808787e-01
1.352790039062500060e+00 4.402140313396342708e-01
1.353790039062499950e+00 4.419069839743619554e-01
1.354790039062500062e+00 4.411077185592268135e-01
1.355790039062499952e+00 4.415158866701364704e-01
1.356790039062500064e+00 4.411353834962178921e-01
1.357790039062499954e+00 4.406644543957403126e-01
1.358790039062500066e+00 4.406671268916454443e-01
1.359790039062499956e+00 4.402912066920161571e-01
1.360790039062500068e+00 4.396652035364199129e-01
1.361790039062499957e+00 4.391090181690323058e-01
1.362790039062500069e+00 4.379849619726041698e-01
1.363790039062499959e+00 4.383933026778064623e-01
1.364790039062500071e+00 4.390617815371925525e-01
1.365790039062499961e+00 4.391931115614330361e-01
1.366790039062500073e+00 4.379392028353186195e-01
1.367790039062499963e+00 4.377705713627778050e-01
1.368790039062500075e+00 4.390066552028203395e-01
1.369790039062499964e+00 4.384328097621518205e-01
1.370790039062500076e+00 4.396760739825838482e-01
1.371790039062499966e+00 4.396399542425655227e-01
1.372790039062500078e+00 4.383067139286906388e-01
1.373790039062499968e+00 4.378870253661794609e-01
1.374790039062500080e+00 4.376797869471333313e-01
1.375790039062499970e+00 4.379317191987443514e-01
1.376790039062500082e+00 4.376669193591372631e-01
1.377790039062499972e+00 4.378296980400961380e-01
1.378790039062500083e+00 4.373607573351421252e-01
1.379790039062499973e+00 4.368350338698334667e-01
1.380790039062500085e+00 4.359006323473514910e-01
1.381790039062499975e+00 4.354467093034791181e-01
1.382790039062500087e+00 4.369012879512565450e-01
1.383790039062499977e+00 4.360904196773184860e-01
1.384790039062500089e+00 4.353205260417529754e-01
1.385790039062499979e+00 4.356116779116311899e-01
1.386790039062500091e+00 4.356760066744768123e-01
1.387790039062499980e+00 4.343081142841467845e-01
1.388790039062500092e+00 4.348401166533469309e-01
1.389790039062499982e+00 4.351967512331463284e-01
1.390790039062500094e+00 4.355943776281093194e-01
1.391790039062499984e+00 4.349449939478471916e-01
1.392790039062500096e+00 4.362928829163009170e-01
1.393790039062499986e+00 4.359857542504881334e-01
1.394790039062500098e+00 4.369506318921082544e-01
1.395790039062499988e+00 4.374573547759321723e-01
1.396790039062500099e+00 4.376589534633162359e-01
1.397790039062499989e+00 4.386613822505524007e-01
1.398790039062500101e+00 4.385896483812958269e-01
1.399790039062499991e+00 4.386571906084385519e-01
1.400790039062500103e+00 4.405939789171078869e-01
1.401790039062499993e+00 4.411187444079320286e-01
1.402790039062500105e+00 4.418962490788287956e-01
1.403790039062499995e+00 4.430919589441878470e-01
1.404790039062500107e+00 4.435973305790411048e-01
1.405790039062499996e+00 4.449935065211322316e-01
1.406790039062500108e+00 4.452687434624027496e-01
1.407790039062499998e+00 4.453588246094905001e-01
1.408790039062500110e+00 4.468815246085652282e-01
1.409790039062500000e+00 4.478377921806949158e-01
1.410790039062499890e+00 4.472148454844405707e-01
1.411790039062500002e+00 4.493568897157612652e-01
1.412790039062499892e+00 4.504067383227245425e-01
1.413790039062500004e+00 4.519129033868827805e-01
1.414790039062499893e+00 4.521284087346963965e-01
1.415790039062500005e+00 4.533609219139924651e-01
1.416790039062499895e+00 4.549595054930298810e-01
1.417790039062500007e+00 4.546149086253556404e-01
1.418790039062499897e+00 4.569549740886199585e-01
1.419790039062500009e+00 4.573022320978537003e-01
1.420790039062499899e+00 4.575375791665795555e-01
1.421790039062500011e+00 4.588973273723542801e-01
1.422790039062499901e+00 4.593585142794174847e-01
1.423790039062500012e+00 4.608950979998919228e-01
1.424790039062499902e+00 4.613846339844807631e-01
1.425790039062500014e+00 4.607495145601425146e-01
1.426790039062499904e+00 4.624538827753281178e-01
1.427790039062500016e+00 4.628592944151558863e-01
1.428790039062499906e+00 4.631304564339562280e-01
1.429790039062500018e+00 4.653750151114994793e-01
1.430790039062499908e+00 4.653220845545013584e-01
1.431790039062500020e+00 4.661963369490196296e-01
1.432790039062499909e+00 4.654849519128234636e-01
1.433790039062500021e+00 4.661902134711302104e-01
1.434790039062499911e+00 4.674440896607234275e-01
1.435790039062500023e+00 4.671768097482799642e-01
1.436790039062499913e+00 4.674075339595293310e-01
1.437790039062500025e+00 4.689760319779043285e-01
1.438790039062499915e+00 4.689317364355138351e-01
1.439790039062500027e+00 4.689518624146344350e-01
1.440790039062499917e+00 4.705233556277622631e-01
1.441790039062500028e+00 4.694431584798293144e-01
1.442790039062499918e+00 4.703652646177786112e-01
1.443790039062500030e+00 4.712529154594907732e-01
1.444790039062499920e+00 4.721070417941471420e-01
1.445790039062500032e+00 4.713780611683204280e-01
1.446790039062499922e+00 4.719889957952241866e-01
1.447790039062500034e+00 4.718084032230003277e-01
1.448790039062499924e+00 4.738577644772530850e-01
1.449790039062500036e+00 4.728921183487682645e-01
1.450790039062499925e+00 4.729823074119999249e-01
1.451790039062500037e+00 4.740518615656870716e-01
1.452790039062499927e+00 4.741136659542699028e-01
1.453790039062500039e+00 4.725479873484446092e-01
1.454790039062499929e+00 4.717309935864558712e-01
1.455790039062500041e+00 4.729181255651510596e-01
1.456790039062499931e+00 4.717558833196203172e-01
1.457790039062500043e+00 4.717907948714702981e-01
1.458790039062499932e+00 4.726350251221467236e-01
1.459790039062500044e+00 4.719176397774815790e-01
1.460790039062499934e+00 4.701718241360064443e-01
1.461790039062500046e+00 4.691065092039284901e-01
1.462790039062499936e+00 4.685595803885901911e-01
1.463790039062500048e+00 4.681391558373302342e-01
1.464790039062499938e+00 4.680402898111192811e-01
1.465790039062500050e+00 4.682113150139880497e-01
1.466790039062499940e+00 4.662542637781526000e-01
1.467790039062500052e+00 4.662255173637481764e-01
1.468790039062499941e+00 4.664452424693711352e-01
1.469790039062500053e+00 4.654624834214121099e-01
1.470790039062499943e+00 4.639467764910987779e-01
1.471790039062500055e+00 4.637302394897256930e-01
1.472790039062499945e+00 4.644146742719457710e-01
1.473790039062500057e+00 4.628546077035978201e-01
1.474790039062499947e+00 4.646633484543343795e-01
1.475790039062500059e+00 4.635126558985055434e-01
1.476790039062499948e+00 4.643462347369036181e-01
1.477790039062500060e+00 4.646146308558914417e-01
1.478790039062499950e+00 4.649772128832568852e-01
1.479790039062500062e+00 4.654220399272481767e-01
1.480790039062499952e+00 4.650605692298119820e-01
1.481790039062500064e+00 4.659056649042834231e-01
1.482790039062499954e+00 4.668933350646247149e-01
1.483790039062500066e+00 4.665113427767786924e-01
1.484790039062499956e+00 4.681762810205277181e-01
1.485790039062500068e+00 4.706728507521831806e-01
1.486790039062499957e+00 4.697260416577234698e-01
1.487790039062500069e+00 4.710028668154808695e-01
1.488790039062499959e+00 4.716755355777624281e-01
1.489790039062500071e+00 4.724224736423385251e-01
1.490790039062499961e+00 4.733232481887456045e-01
1.491790039062500073e+00 4.754877742189454470e-01
1.492790039062499963e+00 4.759422417537778616e-01
1.493790039062500075e+00 4.765578556931851506e-01
1.494790039062499964e+00 4.770792156845536369e-01
1.495790039062500076e+00 4.785476479345837642e-01
1.496790039062499966e+00 4.799848049363941715e-01
1.497790039062500078e+00 4.793575987623569512e-01
1.498790039062499968e+00 4.805126901818858598e-01
1.499790039062500080e+00 4.834739092934810523e-01
1.500790039062499970e+00 4.840764034297556639e-01
1.501790039062500082e+00 4.841245616449253442e-01
1.502790039062499972e+00 4.845155307837717418e-01
1.503790039062500083e+00 4.863736369910559021e-01
1.504790039062499973e+00 4.869595129436136149e-01
1.505790039062500085e+00 4.872229063918858682e-01
1.506790039062499975e+00 4.889733129175657389e-01
1.507790039062500087e+00 4.890845230704490842e-01
1.508790039062499977e+00 4.906410268623537241e-01
1.509790039062500089e+00 4.920244440833125843e-01
1.510790039062499979e+00 4.925130743319900417e-01
1.511790039062500091e+00 4.921204478546051808e-01
1.512790039062499980e+00 4.939080355621221496e-01
1.513790039062500092e+00 4.946549759265395085e-01
1.514790039062499982e+00 4.936542361464009709e-01
1.515790039062500094e+00 4.946930528606066635e-01
1.516790039062499984e+00 4.950589465222866026e-01
1.517790039062500096e+00 4.967459586703878993e-01
1.518790039062499986e+00 4.945235320956747338e-01
1.519790039062500098e+00 4.959126745608480324e-01
