# WAVELENGTH THROUGHPUT
3.646973653999999954e+00 0.000000000000000000e+00
3.648324885000000073e+00 0.000000000000000000e+00
3.649676116000000192e+00 2.642785435802510826e-05
3.651027347000000312e+00 2.680292589907429802e-05
3.652378579000000069e+00 2.717536433620508881e-05
3.653729809999999745e+00 2.722103531369351374e-05
3.655081041999999947e+00 2.711867906651854864e-05
3.656432273000000066e+00 2.711062598155210561e-05
3.657783504000000185e+00 2.713467034290556186e-05
3.659134735999999943e+00 2.740175200653052355e-05
3.660485967000000063e+00 2.788665860848224545e-05
3.661837199000000265e+00 2.833725990518114082e-05
3.663188429999999940e+00 2.889014241148635061e-05
3.664539662000000142e+00 2.951326459044099126e-05
3.665890892999999817e+00 3.029965147651013781e-05
3.667242125000000019e+00 3.127792802466736541e-05
3.668593355999999694e+00 3.216083884625740668e-05
3.669944586999999814e+00 3.277881626192245774e-05
3.671295819000000016e+00 3.340396758796290971e-05
3.672647050000000135e+00 3.427115445329603679e-05
3.673998281999999893e+00 3.534365676790362203e-05
3.675349513000000012e+00 3.647267859013328259e-05
3.676700745000000214e+00 3.765703673575860905e-05
3.678051976000000334e+00 3.893019980453076451e-05
3.679403208000000092e+00 4.024769241384171990e-05
3.680754438999999767e+00 4.176399469030319403e-05
3.682105669999999886e+00 4.315616315298817447e-05
3.683456902000000088e+00 4.401968334079218146e-05
3.684808133000000208e+00 4.482283599238604693e-05
3.686159364999999966e+00 4.585497787676847694e-05
3.687510596000000085e+00 4.692308000918240976e-05
3.688861827999999843e+00 4.821956810861576062e-05
3.690213058999999962e+00 4.980788463317952787e-05
3.691564289999999637e+00 5.156316920580825364e-05
3.692915521999999839e+00 5.387198463274902568e-05
3.694266752999999959e+00 5.666787322528920136e-05
3.695617984999999717e+00 5.974737779698266520e-05
3.696969215999999836e+00 6.331303791748392636e-05
3.698320448000000038e+00 6.699427995674137200e-05
3.699671679000000157e+00 7.047227760894901106e-05
3.701022910999999915e+00 7.398502916677823598e-05
3.702374142000000035e+00 7.760994420315765817e-05
3.703725373000000154e+00 8.162489011343829562e-05
3.705076605000000356e+00 8.591867073030404743e-05
3.706427836000000031e+00 9.008814367780325209e-05
3.707779067999999789e+00 9.427653022311110727e-05
3.709130298999999908e+00 9.908212933211357916e-05
3.710481531000000111e+00 1.046100836106204375e-04
3.711832761999999786e+00 1.106410467217712815e-04
3.713183992999999905e+00 1.169955515503971787e-04
3.714535225000000107e+00 1.236646109943793589e-04
3.715886456000000226e+00 1.313005237702152893e-04
3.717237687999999984e+00 1.399981065360459190e-04
3.718588918999999660e+00 1.494017813263488227e-04
3.719940150999999862e+00 1.591015701170959821e-04
3.721291381999999981e+00 1.692112628206300900e-04
3.722642613999999739e+00 1.805495155618507886e-04
3.723993844999999858e+00 1.932085105842185112e-04
3.725345075999999978e+00 2.063438448491555050e-04
3.726696308000000180e+00 2.197450188006604414e-04
3.728047539000000299e+00 2.337012692847634373e-04
3.729398771000000057e+00 2.486316498352781159e-04
3.730750002000000176e+00 2.653515645758154477e-04
3.732101234000000378e+00 2.837128874091647437e-04
3.733452465000000053e+00 3.029500525497714103e-04
3.734803695999999729e+00 3.232519874512692834e-04
3.736154927999999931e+00 3.450020293718914356e-04
3.737506159000000050e+00 3.684204436742103263e-04
3.738857390999999808e+00 3.937229697864060149e-04
3.740208621999999927e+00 4.202768714157994090e-04
3.741559854000000129e+00 4.477203077683535840e-04
3.742911085000000249e+00 4.766737576870510077e-04
