# WAVELENGTH THROUGHPUT
2.298648794999999190e+00 0.000000000000000000e+00
2.299849760999999493e+00 0.000000000000000000e+00
2.301050726999999796e+00 1.487459444556851319e-06
2.302251693000000099e+00 1.578209871046737694e-06
2.303452658999999958e+00 1.760102898162084435e-06
2.304653624999999817e+00 2.043880068742742589e-06
2.305854590999999676e+00 2.388651316095081673e-06
2.307055556999999979e+00 2.653513967864177780e-06
2.308256522999999838e+00 3.005676767782397958e-06
2.309457488000000058e+00 3.491634355378087087e-06
2.310658453999999917e+00 3.858884226024694159e-06
2.311859419999999776e+00 4.544455730210082375e-06
2.313060386000000079e+00 5.390505743688305401e-06
2.314261351999999938e+00 6.310103862501561008e-06
2.315462317999999797e+00 7.037466203026173605e-06
2.316663284000000100e+00 8.486068730237406201e-06
2.317864249999999959e+00 9.817895650396246828e-06
2.319065215999999818e+00 1.100990868108588223e-05
2.320266181999999677e+00 1.322734690959140284e-05
2.321467147999999980e+00 1.603680928205965391e-05
2.322668113999999839e+00 1.857576210106527971e-05
2.323869080000000142e+00 2.088713387876336617e-05
2.325070046000000001e+00 2.478251754538237175e-05
2.326271012000000304e+00 2.751938462141936465e-05
2.327471977000000081e+00 3.140960961881648374e-05
2.328672942999999940e+00 3.691674028753471351e-05
2.329873908999999799e+00 4.312283592540713958e-05
2.331074874999999658e+00 4.788216962429726740e-05
2.332275840999999961e+00 5.393352960598733390e-05
2.333476806999999820e+00 6.228191217646814417e-05
2.334677772999999679e+00 6.948724224093146364e-05
2.335878739000000426e+00 7.998897323552472992e-05
2.337079705000000285e+00 9.248490762296879752e-05
2.338280671000000144e+00 1.070548375936160426e-04
2.339481637000000003e+00 1.208153645792785924e-04
2.340682603000000306e+00 1.386748872532964484e-04
2.341883569000000165e+00 1.586834962173738436e-04
2.343084535000000024e+00 1.803139476584661644e-04
2.344285500999999883e+00 2.067822165303546814e-04
2.345486465999999659e+00 2.372933386179186641e-04
2.346687431999999962e+00 2.724173949415079955e-04
2.347888398000000265e+00 3.124903759599694398e-04
2.349089364000000124e+00 3.617438443994834226e-04
2.350290329999999983e+00 4.212456193582016575e-04
2.351491296000000286e+00 4.928298525633042094e-04
2.352692262000000145e+00 5.781174716107585375e-04
2.353893228000000004e+00 6.855367646267869529e-04
2.355094193999999863e+00 8.126562241305654863e-04
2.356295160000000166e+00 9.674872580115762444e-04
2.357496126000000025e+00 1.160604983156159108e-03
2.358697091999999884e+00 1.396660584312144982e-03
2.359898058000000187e+00 1.661944914484647564e-03
2.361099024000000046e+00 1.974998811806843915e-03
2.362299989000000267e+00 2.358198051548358182e-03
2.363500955000000125e+00 2.755581162361246846e-03
2.364701920999999984e+00 3.233208959476709457e-03
2.365902887000000288e+00 3.782631989414920494e-03
2.367103853000000147e+00 4.387962297660621437e-03
2.368304819000000006e+00 4.966471260663066732e-03
2.369505784999999864e+00 5.623705364852253988e-03
2.370706751000000168e+00 6.322037024236054105e-03
2.371907717000000027e+00 7.000966485590127096e-03
2.373108682999999886e+00 7.771001875934022834e-03
2.374309648999999744e+00 8.539794514862362670e-03
2.375510615000000048e+00 9.314566002041944556e-03
2.376711580999999907e+00 1.010979463798960566e-02
2.377912546999999766e+00 1.098258495503705995e-02
2.379113512999999624e+00 1.193711271136324234e-02
2.380314477999999845e+00 1.299469818930163931e-02
2.381515444000000148e+00 1.418952307103361378e-02
2.382716410000000007e+00 1.554462921469230638e-02
2.383917375999999866e+00 1.708426437285619562e-02
2.385118342000000169e+00 1.885301469446702682e-02
2.386319308000000028e+00 2.089808808049617439e-02
2.387520273999999887e+00 2.327667043666428737e-02
2.388721239999999746e+00 2.604678971963809639e-02
2.389922206000000049e+00 2.928199406203223915e-02
2.391123171999999908e+00 3.308014850317294447e-02
2.392324137999999767e+00 3.749466577207789114e-02
2.393525103999999626e+00 4.263023146552450543e-02
2.394726070000000373e+00 4.856339114693062481e-02
2.395927036000000232e+00 5.534510930154064312e-02
2.397128002000000091e+00 6.298182154205948791e-02
2.398328966999999867e+00 7.146849376147160204e-02
2.399529932999999726e+00 8.071805534918201352e-02
2.400730899000000029e+00 9.053716508638945393e-02
2.401931864999999888e+00 1.007743555098413180e-01
2.403132830999999747e+00 1.111605188543791506e-01
2.404333796999999606e+00 1.213864249794294331e-01
2.405534762999999909e+00 1.311586503718447372e-01
2.406735729000000212e+00 1.403341694257648764e-01
2.407936695000000071e+00 1.486922855506721264e-01
2.409137661000000374e+00 1.561779584158111411e-01
2.410338627000000233e+00 1.628699274262626340e-01
2.411539593000000092e+00 1.688455290142097942e-01
2.412740558999999951e+00 1.742473342553635118e-01
2.413941525000000254e+00 1.793180593485008689e-01
2.415142491000000113e+00 1.844037683420105544e-01
2.416343455999999890e+00 1.896154526766596349e-01
2.417544421999999749e+00 1.952545491262572264e-01
2.418745387999999608e+00 2.014914692104345373e-01
2.419946354000000355e+00 2.083643928083545871e-01
2.421147320000000214e+00 2.158249944108805440e-01
2.422348286000000073e+00 2.238306289663831994e-01
2.423549251999999932e+00 2.322319768949603347e-01
2.424750218000000235e+00 2.407487005348141751e-01
2.425951184000000094e+00 2.490419638571040595e-01
2.427152149999999953e+00 2.569590671930975789e-01
2.428353116000000256e+00 2.643005647437263184e-01
2.429554082000000115e+00 2.707807874410978477e-01
2.430755047999999974e+00 2.765237512044216861e-01
2.431956013999999833e+00 2.814766683769728828e-01
2.433156980000000136e+00 2.856769189313250190e-01
2.434357945000000356e+00 2.891677262789241198e-01
2.435558911000000215e+00 2.923096642868371342e-01
2.436759877000000074e+00 2.951727510997350645e-01
2.437960842999999933e+00 2.978826739986073502e-01
2.439161809000000236e+00 3.007474513191976673e-01
2.440362775000000095e+00 3.037776905550465534e-01
2.441563740999999954e+00 3.070102346626940037e-01
2.442764706999999813e+00 3.104820229763003980e-01
2.443965673000000116e+00 3.144090108824552088e-01
2.445166638999999975e+00 3.185960462513499625e-01
2.446367604999999834e+00 3.231423695027958454e-01
2.447568570999999693e+00 3.280817368765415742e-01
2.448769536999999996e+00 3.332919209524658477e-01
2.449970502999999855e+00 3.384351217230983644e-01
2.451171468999999714e+00 3.435298006485542621e-01
2.452372433999999934e+00 3.485951172885524141e-01
2.453573400000000237e+00 3.537555452274756540e-01
2.454774366000000096e+00 3.586963901681157751e-01
2.455975331999999955e+00 3.633884073732696063e-01
2.457176297999999814e+00 3.678024971862636217e-01
2.458377264000000118e+00 3.720337470259840185e-01
2.459578229999999976e+00 3.757931521574034983e-01
2.460779195999999835e+00 3.791099947454906749e-01
2.461980161999999694e+00 3.820901623951294956e-01
2.463181127999999998e+00 3.845045344871143578e-01
2.464382093999999856e+00 3.865353446675564020e-01
2.465583059999999715e+00 3.882525050607194550e-01
2.466784026000000019e+00 3.897488688105031907e-01
2.467984992000000322e+00 3.908102217604759732e-01
2.469185958000000181e+00 3.917160609738337129e-01
2.470386922999999957e+00 3.925471096449513198e-01
2.471587888999999816e+00 3.933604986313073981e-01
2.472788854999999675e+00 3.939014477947240245e-01
2.473989820999999978e+00 3.943433378453134464e-01
2.475190786999999837e+00 3.947109679961702811e-01
2.476391752999999696e+00 3.950366704091502479e-01
2.477592718999999999e+00 3.953326935666747199e-01
2.478793685000000302e+00 3.957022353548637628e-01
2.479994651000000161e+00 3.960748049373620794e-01
2.481195617000000020e+00 3.962963822701956462e-01
2.482396583000000323e+00 3.966533824770434036e-01
2.483597549000000182e+00 3.970008402240898238e-01
2.484798515000000041e+00 3.972844065545538261e-01
2.485999480999999900e+00 3.974165364866098504e-01
2.487200445999999676e+00 3.976428572467960443e-01
2.488401411999999979e+00 3.977462964921665844e-01
2.489602377999999838e+00 3.977618344814114471e-01
2.490803344000000141e+00 3.978024777455028138e-01
2.492004310000000000e+00 3.977526785040693680e-01
2.493205276000000303e+00 3.976298786578023603e-01
